"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.968899100E-1,9.297877550E-3,1.595461369E-2,-1.506805420E-2,2.383372573E-2
6.020881910E-1,3.995943069E-2,5.619406700E-2,-6.955146790E-2,9.793842940E-2
6.070745450E-1,3.526073694E-2,8.008235693E-2,-1.402263641E-1,1.652874365E-1
6.120608470E-1,5.456575751E-2,9.968823195E-2,-1.652078629E-1,2.005213291E-1
6.170472010E-1,5.254191160E-2,1.104574203E-1,-1.781444550E-1,2.160947501E-1
6.220335030E-1,5.323240161E-2,1.336310506E-1,-1.482534409E-1,2.065672505E-1
6.270198050E-1,3.254228830E-2,9.289208055E-2,-9.962940216E-2,1.400498373E-1
6.322222010E-1,1.202279329E-2,5.041122437E-2,1.509666443E-2,5.397914762E-2
6.372085550E-1,-1.554965973E-2,3.886833787E-2,1.003742218E-1,1.087544206E-1
6.421948580E-1,-4.996764660E-2,1.771378517E-2,1.968231201E-1,2.038378878E-1
6.471812120E-1,-3.194458783E-2,-1.544672251E-2,2.069606781E-1,2.099804282E-1
6.521675140E-1,-5.947056413E-2,-5.596727133E-2,2.835512161E-1,2.950768978E-1
6.571538160E-1,-7.737247646E-2,-6.830948591E-2,3.262672424E-1,3.422031552E-1
6.623523050E-1,-9.283731878E-2,-8.139555156E-2,3.425235748E-1,3.640966944E-1
6.673386600E-1,-8.934913576E-2,-8.788539469E-2,3.159065247E-1,3.398588574E-1
6.723249620E-1,-6.715081632E-2,-6.405201554E-2,2.681541443E-1,2.837578861E-1
6.773113160E-1,-6.889571249E-2,-8.601465821E-2,2.279396057E-1,2.531829467E-1
6.822976180E-1,-9.696918726E-2,-9.622146189E-2,2.284584045E-1,2.661857164E-1
6.872839200E-1,-9.646011889E-2,-9.250088036E-2,1.862287521E-1,2.292206699E-1
6.924865240E-1,-6.498312950E-2,-8.429773152E-2,1.372289658E-1,1.736683728E-1
6.974728780E-1,-2.446578443E-2,-5.707162619E-2,7.438755035E-2,9.689815670E-2
7.024591800E-1,-3.290474415E-3,-3.007243574E-2,1.916885376E-4,3.025252646E-2
7.074455350E-1,5.566963553E-2,3.824621439E-3,-1.874732971E-2,5.886593600E-2
7.124318370E-1,5.238026381E-2,3.056588769E-2,-5.178833008E-2,7.974958720E-2
7.174181390E-1,7.055573165E-2,6.694304943E-2,-8.218955994E-2,1.273365890E-1
7.226225140E-1,6.719058752E-2,6.769457459E-2,-8.146381378E-2,1.254331832E-1
7.276088680E-1,5.695033073E-2,5.448952317E-2,-8.551025391E-2,1.162946767E-1
7.325951700E-1,3.017121553E-2,4.407605529E-2,-1.085357666E-1,1.209669935E-1
7.375814720E-1,3.935463727E-2,6.979292631E-2,-1.266326904E-1,1.498521882E-1
7.425678260E-1,5.584631860E-2,1.028867364E-1,-1.374721527E-1,1.805632427E-1
7.475541280E-1,7.003605366E-2,9.330248833E-2,-6.034183502E-2,1.313451187E-1
7.527728780E-1,7.489576936E-2,7.697635889E-2,-4.801082611E-2,1.176425753E-1
7.577663680E-1,3.935565054E-2,6.316432357E-2,-3.815841675E-2,8.363410650E-2
