"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.054644400E-1,-3.183150291E-2,-6.665301323E-2,4.715919495E-3,7.401424624E-2
5.104492310E-1,-1.487433910E-2,-3.046315908E-2,-9.554862976E-3,3.522137748E-2
5.154339710E-1,4.124045372E-3,-2.049195766E-2,-6.396198273E-2,6.729088581E-2
5.204187630E-1,-2.438187599E-2,-3.201895952E-2,-4.196262360E-2,5.814250962E-2
5.256180860E-1,-2.415108681E-2,-2.676445246E-2,-5.971908569E-3,3.654140940E-2
5.306104290E-1,-1.454782486E-2,-1.913371682E-2,5.950927734E-3,2.476190357E-2
5.356027210E-1,2.079129219E-3,-4.501506686E-2,3.673076630E-2,5.813629001E-2
5.405950650E-1,-1.713109016E-2,-8.519731462E-2,6.011390686E-2,1.056680579E-1
5.455874090E-1,-1.728785038E-2,-8.480070531E-2,7.380008698E-2,1.137386576E-1
5.505797520E-1,-4.126930237E-2,-3.712439537E-2,9.686470032E-2,1.116429407E-1
5.557502210E-1,-1.996636391E-2,-1.844197512E-3,6.278514862E-2,6.590926824E-2
5.607425650E-1,1.790499687E-2,2.600783110E-2,6.697845459E-2,7.404802206E-2
5.657348560E-1,3.659343719E-2,4.419744015E-2,4.501724243E-2,7.293178647E-2
5.707272000E-1,2.885282040E-2,8.383265138E-2,-7.570266724E-3,8.898150156E-2
5.757195440E-1,2.835774422E-2,8.544376493E-2,-2.883338928E-2,9.453128032E-2
5.807118880E-1,2.327895164E-2,6.836363673E-2,-8.315563202E-2,1.101378934E-1
5.859083980E-1,1.112532616E-2,7.087579370E-2,-5.392551422E-2,8.975027631E-2
5.909007420E-1,-7.932305336E-3,2.808594704E-2,-3.921604156E-2,4.888394220E-2
5.958930340E-1,-7.927060127E-3,-1.437935233E-2,-2.937698364E-2,3.365428983E-2
6.008853770E-1,-2.216887474E-2,-2.095198631E-2,-1.250171661E-2,3.296570424E-2
6.058777210E-1,-2.457249165E-2,-3.230789304E-2,1.136779785E-2,4.215251032E-2
6.108700650E-1,-1.740598679E-2,-3.185451031E-2,6.532669067E-3,3.688297667E-2
6.160261590E-1,-8.090138435E-3,-5.057087541E-2,-2.198219299E-2,5.573222217E-2
6.210185020E-1,-2.269911766E-2,-5.739822984E-2,-4.073810577E-2,7.395539191E-2
6.260107940E-1,-1.111114025E-2,-4.274481535E-2,-5.458259583E-2,7.021279402E-2
6.310031380E-1,-1.138865948E-2,-3.536781669E-2,-2.082061768E-2,4.259204318E-2
6.359954810E-1,3.118515015E-4,-3.527262807E-2,2.214813232E-2,4.165087403E-2
6.409878250E-1,3.571498394E-2,4.969596863E-3,2.437877655E-2,4.352679309E-2
6.461514710E-1,5.893766880E-2,2.839243412E-2,3.608894348E-2,7.471406133E-2
6.511438150E-1,3.447043896E-2,3.270483017E-2,3.106975555E-2,5.677276450E-2
6.561361060E-1,1.273214817E-2,3.229939938E-2,1.657009125E-2,3.846981571E-2
6.611284500E-1,3.398621082E-2,4.635643959E-2,-1.682662964E-2,5.989254947E-2
6.661207940E-1,4.566717148E-2,5.573937297E-2,-2.145576477E-2,7.518456019E-2
6.711131380E-1,2.631902695E-2,7.237073779E-2,-2.129554749E-2,7.989815524E-2
6.762810020E-1,-2.369880676E-2,4.148793221E-2,2.326965332E-4,4.778008066E-2
6.812733460E-1,-2.336502075E-2,1.807159185E-2,-2.182960510E-3,2.961877687E-2
6.862656380E-1,1.027822495E-2,1.389431953E-2,-1.171302795E-2,2.087795601E-2
6.912579810E-1,3.641152382E-2,1.672410965E-2,2.398967743E-2,4.670117272E-2
6.962503250E-1,7.684946060E-3,1.236990094E-2,1.188564301E-2,1.879737628E-2
7.012426690E-1,5.378484726E-3,-2.504521608E-2,-4.879951477E-3,2.607690306E-2
7.064152210E-1,1.281487942E-2,-2.185812593E-2,-7.274627686E-3,2.636131657E-2
7.114075650E-1,4.398381710E-2,-5.197611451E-2,2.223968506E-3,6.812516923E-2
7.163998560E-1,4.168522358E-2,-3.432652354E-2,-9.740829468E-3,5.487122964E-2
7.213922000E-1,3.228080273E-2,-4.311519861E-2,4.528999329E-3,5.405073923E-2
7.263845440E-1,-9.032487869E-4,-3.995296359E-2,1.631641388E-2,4.316573317E-2
7.313768880E-1,4.200816154E-3,-5.846604705E-2,2.563762665E-2,6.397822609E-2
7.365503770E-1,-2.155542374E-2,-5.311095715E-2,4.675388336E-2,7.396847755E-2
7.415427210E-1,-4.003775120E-2,-1.707112789E-2,1.544475555E-2,4.618425492E-2
7.465350130E-1,-2.046215534E-2,-2.176138759E-2,1.529121399E-2,3.355710083E-2
7.515273560E-1,-1.307678223E-2,-1.455253363E-2,1.040554047E-2,2.215973242E-2
7.565197000E-1,-2.238655090E-2,-1.451271772E-2,-1.106739044E-2,2.888362457E-2
7.615120440E-1,-2.939784527E-2,-1.204621792E-2,1.278972626E-2,3.424794549E-2
7.666859500E-1,-7.790088654E-3,-4.969179630E-3,1.506519318E-2,1.767309460E-2
7.716782940E-1,1.131403446E-2,1.630738378E-2,1.494026184E-2,2.484249515E-2
7.766705860E-1,-4.803216457E-2,8.854568005E-3,7.678985596E-3,4.944147073E-2
