"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.612248050E-1,7.057168987E-3,4.660394508E-3,3.195699072E-3,9.040763443E-3
2.637360030E-1,5.991935730E-3,2.529928461E-3,4.260932095E-3,7.775562625E-3
2.662471490E-1,8.122402243E-3,5.725627299E-3,-1.065233024E-3,9.994545891E-3
2.687582950E-1,9.187635034E-3,2.529928461E-3,0.000000000E0,9.529594721E-3
2.712694930E-1,4.926702939E-3,3.595161485E-3,0.000000000E0,6.098982534E-3
2.737809510E-1,8.122402243E-3,3.595161485E-3,-3.195699072E-3,9.439867417E-3
2.762920970E-1,1.131810062E-2,2.529928461E-3,-2.130466048E-3,1.179147256E-2
2.788032950E-1,9.187635034E-3,4.660394508E-3,1.065233024E-3,1.035696075E-2
2.813144410E-1,7.057168987E-3,4.660394508E-3,0.000000000E0,8.457121915E-3
2.838256390E-1,9.187635034E-3,6.790860556E-3,-2.130466048E-3,1.162184625E-2
2.863367840E-1,9.187635034E-3,6.790860556E-3,-2.130466048E-3,1.162184625E-2
2.888479300E-1,1.238333434E-2,1.105179265E-2,-1.065233024E-3,1.663201165E-2
2.913591280E-1,9.187635034E-3,9.986559860E-3,0.000000000E0,1.356996740E-2
2.938702740E-1,1.025286783E-2,1.211702544E-2,0.000000000E0,1.587273147E-2
2.963814720E-1,9.187635034E-3,1.531272475E-2,-1.065233024E-3,1.788929563E-2
2.988926180E-1,9.187635034E-3,1.637795754E-2,1.065233024E-3,1.880916936E-2
3.014038160E-1,4.926702939E-3,1.744319126E-2,1.065233024E-3,1.815687320E-2
3.039118890E-1,3.861469682E-3,1.850842312E-2,1.065233024E-3,1.893693206E-2
3.064230340E-1,1.731003635E-3,2.276935615E-2,0.000000000E0,2.283505973E-2
3.089342320E-1,-3.994623839E-4,2.383458801E-2,0.000000000E0,2.383793522E-2
3.114454300E-1,-3.595161485E-3,2.596505545E-2,-1.065233024E-3,2.623440512E-2
3.139565760E-1,-2.529928461E-3,2.170412242E-2,-2.130466048E-3,2.195468865E-2
3.164677220E-1,-3.595161485E-3,2.383458801E-2,-1.065233024E-3,2.412773286E-2
3.189788680E-1,-2.529928461E-3,2.703028731E-2,1.065233024E-3,2.716931526E-2
3.214900660E-1,-4.660394508E-3,2.489982173E-2,-1.065233024E-3,2.535458776E-2
3.240012110E-1,-1.105179265E-2,2.063889056E-2,0.000000000E0,2.341166215E-2
3.265124090E-1,-8.921326138E-3,2.170412242E-2,2.130466048E-3,2.356263729E-2
3.290235550E-1,-1.424749196E-2,2.383458801E-2,2.130466048E-3,2.784991020E-2
3.315347530E-1,-1.424749196E-2,2.276935615E-2,2.130466048E-3,2.694389526E-2
3.340432430E-1,-9.986559860E-3,2.063889056E-2,4.260932095E-3,2.332060728E-2
3.365543890E-1,-1.424749196E-2,1.744319126E-2,4.260932095E-3,2.292185618E-2
3.390655860E-1,-1.211702544E-2,1.531272475E-2,6.391398143E-3,2.054633337E-2
3.415767840E-1,-1.424749196E-2,1.318225823E-2,2.130466048E-3,1.952695175E-2
3.440879300E-1,-9.986559860E-3,8.921326138E-3,2.130466048E-3,1.355951044E-2
3.465990760E-1,-8.921326138E-3,3.595161485E-3,2.130466048E-3,9.851605541E-3
3.491102220E-1,-8.921326138E-3,2.529928461E-3,1.065233024E-3,9.334094465E-3
3.516214200E-1,-1.105179265E-2,-6.657706108E-4,3.195699072E-3,1.152379555E-2
3.541325660E-1,-8.921326138E-3,-1.731003635E-3,5.326164886E-3,1.053349259E-2
3.566437640E-1,-7.856093347E-3,-5.991935730E-3,5.326164886E-3,1.122450573E-2
3.591549090E-1,-9.986559860E-3,-1.131810062E-2,5.326164886E-3,1.600621166E-2
3.616661070E-1,-2.529928461E-3,-1.238333434E-2,7.456631400E-3,1.467476948E-2
3.641812640E-1,6.657706108E-4,-1.451379992E-2,5.326164886E-3,1.547454914E-2
3.666924610E-1,1.731003635E-3,-1.983996481E-2,3.195699072E-3,2.017010336E-2
3.692036070E-1,4.926702939E-3,-2.290250920E-2,5.326164886E-3,2.402426610E-2
3.717148050E-1,5.991935730E-3,-2.716344222E-2,2.130466048E-3,2.789793492E-2
3.742259510E-1,8.122402243E-3,-2.716344222E-2,2.130466048E-3,2.843175860E-2
3.767370970E-1,9.187635034E-3,-2.716344222E-2,6.391398143E-3,2.937882233E-2
3.792482430E-1,1.025286783E-2,-1.877473295E-2,4.260932095E-3,2.181209385E-2
3.817594410E-1,9.187635034E-3,-1.877473295E-2,2.130466048E-3,2.101052404E-2
3.842705860E-1,1.344856713E-2,-2.090519853E-2,2.130466048E-3,2.494855044E-2
3.867817840E-1,1.238333434E-2,-2.090519853E-2,3.195699072E-3,2.450687225E-2
3.892929300E-1,1.131810062E-2,-2.090519853E-2,4.260932095E-3,2.415123743E-2
3.918041280E-1,1.557903271E-2,-1.344856713E-2,7.456631400E-3,2.188998789E-2
3.943139720E-1,1.877473295E-2,-1.557903271E-2,2.130466048E-3,2.448950271E-2
3.968251180E-1,1.983996481E-2,-1.664426550E-2,5.326164886E-3,2.643905842E-2
3.993363160E-1,1.983996481E-2,-1.557903271E-2,2.130466048E-3,2.531539748E-2
4.018475140E-1,2.303566411E-2,-1.131810062E-2,-1.065233024E-3,2.568805061E-2
4.043586590E-1,1.877473295E-2,-1.238333434E-2,0.000000000E0,2.249083295E-2
4.068698050E-1,1.664426550E-2,-1.344856713E-2,0.000000000E0,2.139849368E-2
4.093809510E-1,1.770949923E-2,-7.057168987E-3,0.000000000E0,1.906384004E-2
4.118921490E-1,1.877473295E-2,-2.796236658E-3,2.130466048E-3,1.910100579E-2
4.144032950E-1,1.664426550E-2,-3.861469682E-3,1.065233024E-3,1.711949893E-2
4.169144930E-1,1.983996481E-2,1.464695437E-3,0.000000000E0,1.989395728E-2
4.194256390E-1,1.877473295E-2,6.790860556E-3,0.000000000E0,1.996512921E-2
4.219368360E-1,1.770949923E-2,1.464695437E-3,1.065233024E-3,1.780186555E-2
4.244444410E-1,1.664426550E-2,3.595161485E-3,-1.065233024E-3,1.706140327E-2
4.269555860E-1,1.451379992E-2,3.595161485E-3,-1.065233024E-3,1.499034008E-2
4.294667840E-1,1.238333434E-2,5.725627299E-3,-4.260932095E-3,1.429284155E-2
4.319779300E-1,1.451379992E-2,4.660394508E-3,-1.065233024E-3,1.528085032E-2
4.344891280E-1,1.238333434E-2,4.660394508E-3,1.065233024E-3,1.327407126E-2
