"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.692902160E-1,1.127664745E-2,1.494841278E-2,9.480476379E-3,2.098802646E-2
6.744498520E-1,4.186831415E-3,1.478777826E-2,-2.477645874E-3,1.556748766E-2
6.794411020E-1,-4.216283560E-4,5.075439811E-3,-2.459526062E-3,5.655716417E-3
6.844323520E-1,2.108681947E-2,-4.349529743E-3,1.656627655E-2,2.716641093E-2
6.894236020E-1,2.330902219E-2,-1.142345369E-2,1.167678833E-2,2.846319018E-2
6.944148000E-1,1.368603110E-2,1.239148527E-2,4.452705383E-3,1.899165448E-2
6.994060500E-1,8.997716010E-3,-9.127244353E-3,1.629066467E-2,2.072803026E-2
7.045803210E-1,8.945219219E-3,-1.146365702E-2,4.276275635E-3,1.515648087E-2
7.095715710E-1,-5.464963615E-3,-1.842732728E-2,-1.238632202E-2,2.286598327E-2
7.145628210E-1,1.123103499E-2,6.949007511E-4,-5.158424377E-3,1.237854499E-2
7.195540710E-1,6.356351078E-3,6.534755230E-4,2.011299133E-3,6.698921815E-3
7.245452680E-1,-6.981268525E-4,5.415186286E-3,1.862239838E-2,1.940632229E-2
7.295365180E-1,8.883237839E-3,3.010600805E-3,4.214286804E-3,1.028279364E-2
7.347098000E-1,-7.850661874E-3,2.206005156E-2,1.804351807E-3,2.348477064E-2
7.397010500E-1,-2.960063517E-3,-6.406977773E-3,1.842117310E-2,1.972690950E-2
7.446923000E-1,-1.473828033E-2,-2.771659195E-2,2.301883698E-2,3.892676755E-2
7.496835500E-1,-9.841289371E-3,2.241748571E-2,1.570034027E-2,2.908427972E-2
7.546747480E-1,4.465341568E-3,2.462302148E-2,-1.056194305E-2,2.716223672E-2
7.596659980E-1,6.826058030E-3,-8.978381753E-3,-1.285076141E-2,1.709820096E-2
7.648421960E-1,4.416860640E-3,6.692707539E-4,-1.274299622E-2,1.350335269E-2
7.698334460E-1,-5.151405931E-3,5.431219935E-3,3.992080688E-3,8.483621943E-3
7.748246960E-1,-3.364160657E-4,5.988627672E-4,-5.544662476E-3,5.587047015E-3
7.798159460E-1,-2.583347261E-3,-1.364289224E-2,-1.262569427E-2,1.876726799E-2
7.848071430E-1,1.419274509E-2,3.116011620E-3,1.731872559E-3,1.463362307E-2
7.897983930E-1,1.647170633E-2,7.753759623E-3,-1.016139984E-2,2.084926724E-2
7.949735500E-1,2.210915089E-3,-1.383483410E-2,1.130008698E-2,1.799952071E-2
7.999648000E-1,2.317592502E-3,-2.083007991E-2,-5.423545837E-3,2.164897951E-2
8.049560500E-1,1.182282716E-2,5.490854383E-3,-2.438259125E-2,2.764849869E-2
8.099473000E-1,4.672490060E-3,2.198727429E-2,4.325866699E-3,2.289072993E-2
