"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.480521450E-1,-8.921326138E-3,-4.740286991E-2,5.326164886E-3,4.852824093E-2
3.505449580E-1,-4.660394508E-3,-4.527240247E-2,6.391398143E-3,4.595823835E-2
3.530377700E-1,-5.725627299E-3,-5.272903293E-2,5.326164886E-3,5.330573848E-2
3.555306350E-1,-4.660394508E-3,-5.166380107E-2,5.326164886E-3,5.214629086E-2
3.580234470E-1,-4.660394508E-3,-3.994623944E-2,7.456631400E-3,4.090259985E-2
3.605162600E-1,-5.725627299E-3,-3.675054014E-2,8.521864191E-3,3.815766211E-2
3.630090720E-1,-8.921326138E-3,-4.633763805E-2,4.260932095E-3,4.738061104E-2
3.655019370E-1,-8.921326138E-3,-4.420717061E-2,9.587096982E-3,4.610614299E-2
3.682107390E-1,-3.595161485E-3,-3.994623944E-2,1.384802908E-2,4.243106340E-2
3.707035520E-1,-5.725627299E-3,-3.568530455E-2,1.384802908E-2,3.870389746E-2
3.731963640E-1,-4.660394508E-3,-3.462007269E-2,1.065232977E-2,3.652041675E-2
3.756892290E-1,-2.529928461E-3,-3.568530455E-2,1.171756350E-2,3.764495708E-2
3.781820410E-1,-3.595161485E-3,-3.568530455E-2,1.171756350E-2,3.773151788E-2
3.806748540E-1,-3.595161485E-3,-3.781577200E-2,1.065232977E-2,3.945161502E-2
3.831676660E-1,-4.660394508E-3,-4.633763805E-2,8.521864191E-3,4.734467390E-2
3.856605310E-1,1.731003635E-3,-4.527240247E-2,1.065233024E-3,4.531800437E-2
3.881533430E-1,-3.994623839E-4,-4.846810177E-2,4.260932095E-3,4.865667479E-2
3.906461560E-1,6.657706108E-4,-5.592473224E-2,5.326164886E-3,5.618173154E-2
3.931389680E-1,6.657706108E-4,-5.166380107E-2,5.326164886E-3,5.194188699E-2
3.956318330E-1,1.731003635E-3,-5.059856921E-2,5.326164886E-3,5.090755948E-2
3.983453740E-1,-1.464695437E-3,-4.953333735E-2,2.130466048E-3,4.960076338E-2
4.008381870E-1,-8.921326138E-3,-5.166380107E-2,3.195699072E-3,5.252571650E-2
4.033309990E-1,-1.211702544E-2,-5.592473224E-2,3.195699072E-3,5.731152130E-2
4.058238640E-1,-6.790860556E-3,-5.059856921E-2,0.000000000E0,5.105223789E-2
4.083166770E-1,-1.211702544E-2,-5.166380107E-2,3.195699072E-3,5.316185794E-2
4.108094890E-1,-1.637795754E-2,-4.420717061E-2,1.065233024E-3,4.715555267E-2
4.133023020E-1,-1.424749196E-2,-3.568530455E-2,2.130466048E-3,3.848338438E-2
4.157951660E-1,-1.424749196E-2,-3.142437339E-2,-3.195699072E-3,3.465104273E-2
4.182879790E-1,-1.531272475E-2,-1.983996481E-2,-2.130466048E-3,2.515238812E-2
4.207807910E-1,-1.957365684E-2,-1.238333434E-2,-3.195699072E-3,2.338134949E-2
4.232736040E-1,-2.063889056E-2,-1.238333434E-2,0.000000000E0,2.406887561E-2
4.257664680E-1,-1.424749196E-2,-4.926702939E-3,-1.065233024E-3,1.511284719E-2
