"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.229445990E-1,2.579906024E-2,1.001000404E-3,1.737594604E-3,2.587687667E-2
7.279366300E-1,9.084101766E-3,8.135199547E-3,1.835250854E-2,2.203444908E-2
7.331070470E-1,-7.595594972E-3,1.521080732E-2,-1.505661011E-2,2.271042118E-2
7.380990260E-1,1.624699309E-2,-1.113405824E-2,-1.255798340E-2,2.335883097E-2
7.430910570E-1,4.203110933E-3,3.176927567E-3,-2.952575684E-3,6.039595471E-3
7.480830360E-1,-9.962391108E-3,1.736888289E-2,-1.718139648E-2,2.638423231E-2
7.530750670E-1,1.394857652E-2,-1.369285583E-2,6.716728210E-3,2.066812826E-2
7.580670990E-1,-5.151070654E-3,-1.578256488E-2,-5.212783813E-3,1.740103440E-2
7.632472550E-1,4.362039268E-3,1.303362846E-2,-1.704216003E-2,2.189379081E-2
7.682392340E-1,-3.558397293E-4,-1.799154282E-2,-7.398605347E-3,1.945665942E-2
7.732312650E-1,-1.685737818E-2,1.076012850E-3,-1.208972931E-2,2.077235080E-2
7.782232450E-1,1.424219273E-2,-8.419156075E-3,-4.861831665E-3,1.724411928E-2
7.832152760E-1,2.266705036E-3,-6.008476019E-3,1.655769348E-2,1.775941861E-2
7.882073070E-1,-2.861025929E-2,8.311003447E-3,1.167011261E-2,3.199705054E-2
7.933744420E-1,9.770072997E-3,-5.994945765E-3,6.822586060E-3,1.333946707E-2
7.983664220E-1,1.213828102E-2,-8.407473564E-3,-3.633499146E-4,1.477008805E-2
8.033584530E-1,2.335235476E-4,-2.500143647E-2,-2.737045288E-3,2.515189408E-2
8.083504320E-1,2.163229510E-2,-9.693503380E-4,-1.221370697E-2,2.486102310E-2
8.133424630E-1,9.595219046E-3,8.454144001E-3,-2.374649048E-4,1.279051089E-2
8.183344950E-1,2.611322142E-2,-1.303115487E-2,9.265899658E-3,3.061973590E-2
8.235120990E-1,1.641669497E-2,3.616005182E-3,4.434585571E-3,1.738530749E-2
8.285040780E-1,9.172648191E-3,-1.251667738E-3,6.770133972E-3,1.146903923E-2
8.334961090E-1,1.159449667E-2,-6.027102470E-3,1.146507263E-2,1.738407914E-2
8.384880880E-1,-5.058314651E-3,8.293002844E-3,-1.238536835E-2,1.574032377E-2
8.434801200E-1,1.633287221E-2,-6.012648344E-3,-5.156517029E-3,1.815225393E-2
8.484721510E-1,8.986145258E-3,-1.544779539E-2,1.864242554E-2,2.582489533E-2
8.536326200E-1,-1.466066018E-2,-1.048833132E-3,1.848793030E-2,2.361860653E-2
8.586245990E-1,4.536870867E-3,6.051748991E-3,-5.422592163E-3,9.306522921E-3
8.636166300E-1,9.217821062E-3,1.552036405E-2,-1.487922668E-2,2.339318944E-2
8.686086090E-1,-4.451461136E-4,1.070857048E-2,-1.475334167E-2,1.823547991E-2
