"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.843665170E-1,7.678940892E-3,-8.793133497E-2,1.519775391E-2,8.956482304E-2
9.893600070E-1,3.241270781E-3,-6.879472733E-2,-3.241252899E-2,7.611696512E-2
9.943534440E-1,3.700399399E-2,1.189482212E-2,-7.487487793E-2,8.436248994E-2
9.993469340E-1,7.266671956E-2,3.510063887E-2,-1.122407913E-1,1.382407401E-1
1.004340424E0,3.915393353E-2,2.283650637E-2,-1.469411850E-1,1.537733669E-1
1.009509799E0,2.974784374E-2,3.236907721E-2,-1.694946289E-1,1.751031713E-1
1.014503236E0,8.579611778E-3,3.737312555E-2,-1.871280670E-1,1.910164226E-1
1.019496726E0,4.067853093E-3,3.572213650E-2,-1.856374741E-1,1.890869912E-1
1.024490163E0,-9.811520576E-3,6.088840961E-2,-2.055816650E-1,2.146333743E-1
1.029483653E0,-1.150366664E-2,1.721668243E-2,-1.303567886E-1,1.319910635E-1
1.034477142E0,7.927010953E-2,7.213056087E-3,-3.912830353E-2,8.869499750E-2
1.039641101E0,7.191051543E-2,-5.282938480E-3,6.085300446E-2,9.435104567E-2
1.044640319E0,5.758726597E-2,-1.086890697E-2,1.220102310E-1,1.353548034E-1
1.049639642E0,6.698687375E-2,-5.710321665E-2,1.232910156E-1,1.514882607E-1
1.054638861E0,2.647639811E-2,-9.603318572E-2,1.221961975E-1,1.576555838E-1
1.059638028E0,5.503912270E-2,-8.506214619E-2,9.975242615E-2,1.421809420E-1
1.064637299E0,2.387201786E-2,-1.005715728E-1,1.012697220E-1,1.447068453E-1
1.069792455E0,-2.341493964E-3,-1.209525764E-1,1.051635742E-1,1.602946839E-1
1.074791674E0,1.467181742E-2,-1.058429778E-1,1.137895584E-1,1.560963221E-1
1.079790944E0,5.312682688E-2,-6.498548388E-2,9.622287750E-2,1.276887427E-1
1.084790163E0,9.400449693E-2,-5.313223600E-2,7.642841339E-2,1.322920342E-1
1.089789382E0,7.056303322E-2,-3.172308207E-2,8.529186249E-2,1.151529305E-1
1.094788653E0,6.894917786E-2,-1.054161787E-2,8.695316315E-2,1.114718234E-1
1.099912507E0,5.355601013E-2,-4.197001457E-2,9.810256958E-2,1.193894572E-1
1.104911726E0,1.955600083E-2,-4.947018623E-2,1.067810059E-1,1.192976098E-1
1.109910997E0,-3.781546652E-2,-4.038113356E-2,6.550598145E-2,8.574193292E-2
1.114910215E0,-9.482701868E-2,-1.452654600E-2,2.456665039E-2,9.902880551E-2
1.119909434E0,-1.135675386E-1,2.309596539E-2,-4.691600800E-2,1.250284817E-1
1.124908705E0,-1.372797191E-1,1.785761118E-2,-7.029628754E-2,1.552616617E-1
1.130047819E0,-1.969922036E-1,-8.557736874E-3,-1.006040573E-1,2.213602030E-1
1.135047038E0,-2.092618197E-1,-4.181557894E-2,-6.888675690E-2,2.242419165E-1
1.140046309E0,-2.029566020E-1,-2.490472794E-2,-1.129150391E-2,2.047904437E-1
1.145045528E0,-1.639660448E-1,-4.867297411E-2,-8.794784546E-3,1.712637454E-1
1.150044747E0,-1.116731614E-1,-2.483367920E-2,-2.055358887E-2,1.162327691E-1
1.155044017E0,-2.696585655E-2,-1.792716980E-2,-1.794624329E-2,3.702172990E-2
1.160178288E0,-9.617269039E-3,-3.516888618E-2,2.979755402E-2,4.708754235E-2
1.165177507E0,5.268006027E-2,-4.047673941E-2,1.776027679E-2,6.876759858E-2
1.170176778E0,6.458988786E-2,3.243929148E-2,1.296329498E-2,7.343165708E-2
1.175175997E0,3.855894506E-2,4.550975561E-2,-1.318454742E-2,6.108815262E-2
1.180175215E0,2.244770527E-2,5.398088694E-2,-9.377098083E-2,1.105026356E-1
1.185174486E0,-1.465372741E-2,4.616713524E-2,-1.238307953E-1,1.329669206E-1
1.190310528E0,-1.073773205E-2,6.988251209E-2,-1.014175415E-1,1.236300211E-1
1.195309747E0,1.500983536E-2,3.209418058E-2,-1.984024048E-2,4.060747132E-2
1.200309017E0,4.591676593E-2,4.121780396E-3,8.954906464E-2,1.007192804E-1
1.205308236E0,6.286606193E-2,3.097403049E-2,1.386289597E-1,1.553367978E-1
1.210307455E0,5.875025690E-2,1.226413250E-2,1.706743240E-1,1.809191160E-1
1.215306726E0,4.562284052E-2,-1.837074757E-2,1.644449234E-1,1.716422465E-1
1.220444538E0,4.242374003E-2,-2.757573128E-2,1.321420670E-1,1.414981291E-1
1.225443757E0,2.246430516E-2,1.297271252E-2,1.357564926E-1,1.382127402E-1
1.230443028E0,3.095905483E-2,-1.115876436E-2,1.084766388E-1,1.133585562E-1
1.235442247E0,5.769774318E-3,7.409751415E-3,6.481742859E-2,6.549422693E-2
1.240441465E0,-1.021234691E-2,2.793592215E-2,2.392482758E-2,3.817204671E-2
1.245440736E0,-1.474931836E-2,4.586273432E-2,-3.799247742E-2,6.135438967E-2
1.250582299E0,3.775477409E-3,5.411052704E-2,-6.611728668E-2,8.552016700E-2
1.255581517E0,7.450163364E-3,7.868194580E-2,-1.129894257E-1,1.378875043E-1
1.260580788E0,8.308231831E-3,9.127342701E-2,-1.523408890E-1,1.777852965E-1
1.265580007E0,1.826331019E-2,8.506029844E-2,-1.866235733E-1,2.059057090E-1
1.270579226E0,5.664213002E-2,9.604460001E-2,-1.660127640E-1,1.999828340E-1
1.275578549E0,9.975624084E-2,1.000714302E-1,-1.645994186E-1,2.169298673E-1
1.280716413E0,1.571121216E-1,1.163090467E-1,-1.347208023E-1,2.374062082E-1
1.285715632E0,1.623897702E-1,9.485203028E-2,-1.098833084E-1,2.178111259E-1
1.290714903E0,1.587379724E-1,3.128010035E-2,-5.203723907E-2,1.699531194E-1
1.295714122E0,1.486674994E-1,6.347358227E-3,7.680892944E-3,1.490010418E-1
1.300713340E0,1.392975897E-1,-1.644313335E-3,7.163238525E-2,1.566452070E-1
1.305712611E0,1.236023307E-1,-2.160191536E-2,1.112890244E-1,1.677182931E-1
1.310854955E0,1.081948727E-1,-5.829662085E-2,1.339988708E-1,1.818249814E-1
1.315854174E0,7.167723775E-2,-4.958057404E-2,1.565179825E-1,1.791472539E-1
1.320853444E0,4.733592272E-2,-7.465723157E-2,1.574983597E-1,1.806104236E-1
1.325852663E0,5.375763774E-2,-8.815926313E-2,1.490058899E-1,1.812862226E-1
1.330851882E0,6.420840323E-2,-6.385153532E-2,8.835411072E-2,1.265155583E-1
1.335851153E0,-7.792136073E-2,-4.465472698E-2,1.159954071E-2,9.055568698E-2
1.340981726E0,-2.674487233E-2,-3.317677975E-2,5.429458618E-2,6.902093160E-2
1.345980944E0,1.624791324E-2,4.147171974E-3,-1.974391937E-2,2.590397792E-2
1.350980215E0,-6.292983890E-2,1.972407103E-2,-1.026487350E-1,1.220080588E-1
1.355979434E0,-4.213421047E-2,3.031456470E-2,-1.135807037E-1,1.248793049E-1
1.360978653E0,-2.196772397E-2,4.334408045E-2,-2.099399567E-1,2.154903144E-1
1.365977924E0,-4.002618790E-2,5.409508944E-2,-2.152357101E-1,2.255100560E-1
1.371117090E0,-2.946621180E-2,3.416949511E-2,-2.014999390E-1,2.064897998E-1
1.376116309E0,2.443090081E-3,6.946867704E-2,-2.591705322E-1,2.683304503E-1
1.381115580E0,8.323937654E-4,5.995684862E-2,-2.522573471E-1,2.592861079E-1
1.386114799E0,-1.238714159E-2,4.871761799E-2,-2.311878204E-1,2.365896361E-1
1.391114017E0,-3.722222149E-2,2.249538898E-3,-1.628046036E-1,1.670206369E-1
1.396113288E0,-2.344401181E-2,-3.411710262E-2,-3.800010681E-2,5.619258402E-2
1.401253549E0,7.188037038E-3,-4.399931431E-2,5.724811554E-2,7.256000461E-2
1.406252767E0,6.855860353E-3,-1.229969561E-1,1.374635696E-1,1.845846337E-1
